tank_code,dip_mm,litres
T2,1,2
T2,2,3
T2,3,5
T2,4,6
T2,5,8
T2,6,10
T2,7,11
T2,8,13
T2,9,14
T2,10,16
T2,11,18
T2,12,19
T2,13,21
T2,14,22
T2,15,24
T2,16,26
T2,17,27
T2,18,29
T2,19,30
T2,20,32
T2,21,34
T2,22,35
T2,23,37
T2,24,38
T2,25,40
T2,26,42
T2,27,43
T2,28,45
T2,29,46
T2,30,48
T2,31,50
T2,32,51
T2,33,53
T2,34,54
T2,35,56
T2,36,58
T2,37,59
T2,38,61
T2,39,62
T2,40,64
T2,41,66
T2,42,67
T2,43,69
T2,44,70
T2,45,72
T2,46,74
T2,47,75
T2,48,77
T2,49,78
T2,50,80
T2,51,82
T2,52,83
T2,53,85
T2,54,86
T2,55,88
T2,56,90
T2,57,91
T2,58,93
T2,59,94
T2,60,96
T2,61,98
T2,62,99
T2,63,101
T2,64,102
T2,65,104
T2,66,106
T2,67,107
T2,68,109
T2,69,110
T2,70,112
T2,71,114
T2,72,115
T2,73,117
T2,74,118
T2,75,120
T2,76,122
T2,77,123
T2,78,125
T2,79,126
T2,80,128
T2,81,130
T2,82,131
T2,83,133
T2,84,134
T2,85,136
T2,86,138
T2,87,139
T2,88,141
T2,89,142
T2,90,144
T2,91,146
T2,92,147
T2,93,149
T2,94,150
T2,95,152
T2,96,154
T2,97,155
T2,98,157
T2,99,158
T2,100,160
T2,101,162
T2,102,163
T2,103,165
T2,104,166
T2,105,168
T2,106,170
T2,107,171
T2,108,173
T2,109,174
T2,110,176
T2,111,178
T2,112,179
T2,113,181
T2,114,182
T2,115,184
T2,116,186
T2,117,187
T2,118,189
T2,119,190
T2,120,192
T2,121,194
T2,122,195
T2,123,197
T2,124,198
T2,125,200
T2,126,203
T2,127,207
T2,128,210
T2,129,214
T2,130,217
T2,131,220
T2,132,224
T2,133,227
T2,134,231
T2,135,234
T2,136,237
T2,137,241
T2,138,244
T2,139,247
T2,140,251
T2,141,254
T2,142,258
T2,143,261
T2,144,264
T2,145,268
T2,146,271
T2,147,275
T2,148,278
T2,149,281
T2,150,285
T2,151,288
T2,152,292
T2,153,295
T2,154,298
T2,155,302
T2,156,305
T2,157,308
T2,158,312
T2,159,315
T2,160,319
T2,161,322
T2,162,325
T2,163,329
T2,164,332
T2,165,336
T2,166,339
T2,167,342
T2,168,346
T2,169,349
T2,170,353
T2,171,356
T2,172,359
T2,173,363
T2,174,366
T2,175,369
T2,176,373
T2,177,376
T2,178,380
T2,179,383
T2,180,386
T2,181,390
T2,182,393
T2,183,397
T2,184,400
T2,185,404
T2,186,408
T2,187,412
T2,188,416
T2,189,420
T2,190,424
T2,191,429
T2,192,433
T2,193,437
T2,194,441
T2,195,445
T2,196,449
T2,197,453
T2,198,457
T2,199,461
T2,200,465
T2,201,469
T2,202,473
T2,203,478
T2,204,482
T2,205,486
T2,206,490
T2,207,494
T2,208,498
T2,209,502
T2,210,506
T2,211,510
T2,212,514
T2,213,518
T2,214,522
T2,215,527
T2,216,531
T2,217,535
T2,218,539
T2,219,543
T2,220,547
T2,221,551
T2,222,555
T2,223,559
T2,224,563
T2,225,567
T2,226,571
T2,227,576
T2,228,580
T2,229,584
T2,230,588
T2,231,592
T2,232,596
T2,233,600
T2,234,604
T2,235,609
T2,236,613
T2,237,618
T2,238,622
T2,239,627
T2,240,631
T2,241,636
T2,242,640
T2,243,644
T2,244,649
T2,245,653
T2,246,658
T2,247,662
T2,248,667
T2,249,671
T2,250,676
T2,251,680
T2,252,684
T2,253,689
T2,254,693
T2,255,698
T2,256,702
T2,257,707
T2,258,711
T2,259,716
T2,260,720
T2,261,724
T2,262,729
T2,263,733
T2,264,738
T2,265,742
T2,266,747
T2,267,751
T2,268,756
T2,269,760
T2,270,764
T2,271,769
T2,272,773
T2,273,778
T2,274,782
T2,275,787
T2,276,791
T2,277,796
T2,278,800
T2,279,805
T2,280,810
T2,281,815
T2,282,820
T2,283,824
T2,284,829
T2,285,834
T2,286,839
T2,287,844
T2,288,849
T2,289,854
T2,290,859
T2,291,863
T2,292,868
T2,293,873
T2,294,878
T2,295,883
T2,296,888
T2,297,893
T2,298,898
T2,299,902
T2,300,907
T2,301,912
T2,302,917
T2,303,922
T2,304,927
T2,305,932
T2,306,937
T2,307,941
T2,308,946
T2,309,951
T2,310,956
T2,311,961
T2,312,966
T2,313,971
T2,314,976
T2,315,980
T2,316,985
T2,317,990
T2,318,995
T2,319,1000
T2,320,1005
T2,321,1011
T2,322,1016
T2,323,1021
T2,324,1026
T2,325,1032
T2,326,1037
T2,327,1042
T2,328,1047
T2,329,1053
T2,330,1058
T2,331,1063
T2,332,1068
T2,333,1074
T2,334,1079
T2,335,1084
T2,336,1089
T2,337,1095
T2,338,1100
T2,339,1105
T2,340,1111
T2,341,1116
T2,342,1121
T2,343,1126
T2,344,1132
T2,345,1137
T2,346,1142
T2,347,1147
T2,348,1153
T2,349,1158
T2,350,1163
T2,351,1168
T2,352,1174
T2,353,1179
T2,354,1184
T2,355,1189
T2,356,1195
T2,357,1200
T2,358,1205
T2,359,1211
T2,360,1216
T2,361,1221
T2,362,1226
T2,363,1232
T2,364,1237
T2,365,1242
T2,366,1247
T2,367,1253
T2,368,1258
T2,369,1263
T2,370,1268
T2,371,1274
T2,372,1279
T2,373,1284
T2,374,1289
T2,375,1295
T2,376,1300
T2,377,1305
T2,378,1311
T2,379,1316
T2,380,1321
T2,381,1326
T2,382,1332
T2,383,1337
T2,384,1342
T2,385,1347
T2,386,1353
T2,387,1358
T2,388,1363
T2,389,1368
T2,390,1374
T2,391,1379
T2,392,1384
T2,393,1389
T2,394,1395
